Day,Word,Meaning (KR),Synonyms
1,exploit,(부당하게) 이용하다,"utilize, use, make use of, take advantage of"
1,account for,설명하다; 차지하다; 원인이 되다,"explain, justify, give a reason for; make up, comprise, constitute; cause"
1,particular,"특정한, 특별한","specific, special"
1,prominent,눈에 띄는; 중요한,"noticeable, conspicuous, outstanding, remarkable; important, leading, notable"
1,replenish,보충하다,"refill, restore, renew"
1,indigenous,토착의,"native, aboriginal"
1,pinpoint,정확히 찾아내다; 정확한,"locate exactly, clearly identify; precise, exact, accurate"
1,annihilate,전멸시키다,"destroy, completely remove, exterminate"
1,conversely,반대로,"on the other hand, contrarily"
1,investigate,조사하다,"examine, inquire into, look into"
1,assure,"확신시키다, 보장하다","convince, persuasion, satisfy, guarantee"
1,entire,"전체의, 전부의","whole, total, complete"
1,compensate for,~을 보상하다,"make up for, atone for, make amends for"
1,postulate,가정하다; 주장하다,"hypothesize, suppose; claim, propose"
1,magnify,확대하다,"enlarge, increase, amplify, intensify"
1,afford,"주다, 제공하다","give, offer, provide, grant"
1,conclusive,"결정적인, 확실한","definitive, final, enough to settle the issue, clear"
1,unsophisticated,"단순한, 복잡하지 않은","simple, uncomplicated, not complex"
1,justified,정당한,"right, legitimate, just, reasonable"
1,deliberate,"의도적인, 계획적인; 신중한","intentional, designed, planned; careful, cautious, thoughtful"
1,depend on,~에 의존하다,"rely on, count on"
1,substantiate,입증하다,"confirm, prove, authenticate, verify"
1,successively,잇따라서,"one after another, sequentially"
1,pervasive,"퍼지는, 만연하는","widespread, prevalent"
1,strenuous,"격렬한, 힘든","intense, arduous, laborious"
1,sleek,매끄러운,"smooth, silky"
1,invoke,"빌다, 기원하다","call upon, pray to, conjure"
1,impressive,"인상적인, 대단한","striking, remarkable"
1,conjunction,결합,"combination, union"
1,astoundingly,몹시 놀랍게도,"incredibly, surprisingly, shockingly, astonishingly"
1,aftermath,"여파, 결과","result, outcome, consequence, aftereffect"
1,promptly,"신속하게, 즉시","quickly, instantly, straightaway"
1,subdue,정복하다,"defeat, conquer, vanquish"
1,extant,현존하는,"surviving, in existence, existing, living, remaining"
1,sedentary,"주로 앉아 있는, 정착성의","stationary, settled"
1,eliminate,"없애다, 제거하다","get rid of, remove, discard"
1,perfect,"개선하다, 완벽하게 하다","refine, improve, develop"
1,genuine,진짜의,"true, real, authentic"
1,dominant,"우세한, 주요한","prevailing, prominent, supreme, chief, ruling"
1,unrivaled,비할 데 없는,"unequaled, unparalleled, matchless, peerless"
1,paradox,모순된 말,"contradiction, absurdity"
1,neglect,"무시하다; (해야 할 일을) 하지 않다, 잊다","ignore, disregard; fail, forget"
1,recall,"상기하다, 생각해내다","remember, recollect"
1,ascend,올라가다,"rise, climb, mount, go up"
1,solid,"확고한, 견고한","substantial, fixed, sturdy, robust"
1,contour,"윤곽, 외형",outline
1,inhabit,거주하다,"live in, occupy, dwell in"
1,irrevocably,돌이킬 수 없게,"permanently, irreversibly, irretrievably"
1,superficially,표면적으로,"apparently, not deeply, externally"
1,stunted,"발달이 저해된, 성장을 멈춘","underdeveloped, hindered, hampered"
1,malleable,두들겨 펼 수 있는,flexible
1,mean,"의미하다, 나타내다; 평균","signify, express, indicate; average"
1,exclude,"차단하다, 배제하다","keep out, leave out"
1,mature,성숙해지다,"get older, grow up, age"
1,pillar,기둥,"column, post"
1,encroachment,"잠식, 침입","invasion, intrusion"
1,no wonder,놀랄 일이 아닌,"unsurprisingly, unsurprising"
2,virtually,사실상; 거의,"in effect, essentially; almost, nearly"
2,unprecedented,"전례 없는, 새로운","unlike anything in the past, unique; novel, new"
2,grow accustomed to,~에 익숙해지다,become used to
2,intrigue,흥미를 끌다,"interest, fascinate, attract"
2,implausible,믿기 어려운,"unlikely, unbelievable, improbable"
2,decline,"쇠퇴, 쇠약; 줄다, 감소하다; 거절하다","weakening, decay; decrease, lessen, fall; refuse, reject"
2,contemporary,현대의; 동시대의,"modern, present-day, current; coexisting, concurrent"
2,allocate,"할당하다, 배정하다","distribute, allot; designate, earmark"
2,drastically,극심하게,"severely, strikingly, extremely"
2,heterogeneous,"잡다한, 혼성의","varied, assorted, mixed"
2,conspicuous,뚜렷한,"noticeable, clearly visible, prominent"
2,prolific,"다산의, 풍부한","fertile, fruitful, productive; abundant"
2,fluctuation,변동,"change, variation, variance"
2,encourage,촉진하다,"promote, prompt, motivate"
2,abrupt,갑작스러운,"sudden, sharp, unexpected"
2,evaluate,평가하다,"judge, assess, gauge, appraise"
2,comprehensive,종합적인,"thorough, complete, exhaustive"
2,engrave,새기다,"carve, incise, etch"
2,slight,"하찮은, 경미한","minor, small, trivial; mild"
2,monotonous,"단조로운, 지루한","unvaried; boring, tedious, dull"
2,regard,"생각하다, 간주하다","consider, think of, see"
2,obsession with,~에 대한 집착,"fixation on, preoccupation with"
2,optimize,최대한 잘 활용하다,make the best use of
2,supplant,대체하다,"replace, substitute, displace, supersede"
2,colossal,"거대한, 엄청난","enormous, monstrous, gigantic"
2,diffuse,퍼뜨리다,"spread, distribute, scatter"
2,mechanics,방법,procedure
2,susceptible to,~에 걸리기 쉬운,"likely to get, vulnerable to, prone to"
2,emanate,(향기 등이) 나다,"emerge, spring, originate"
2,conventionally,관례적으로,"customarily, traditionally"
2,expansive,"넓은, 광대한","large, broad, wide, extensive"
2,sporadically,이따금씩,"occasionally, at intervals, infrequently"
2,comparative,상대적인,relative
2,stamp out,근절하다,"eliminate, eradicate, extirpate"
