No.,Term,Korean Term,Definition,Korean Definition
1,absolute grading,절대 평가,"test-taker's performance is empirically calculated by a score on a predetermined measures of achievement of learning objectives","학습 목표 달성도에 대한 기설정된 척도에 점수를 매겨 수험자의 수행을 절대적으로 산출하는 평가 방식"
2,acculturation,문화 변용,"the process of adjusting and adapting to a new culture, usually when one is living in the new culture, and often with the resultant creation of a new cultural identity","새로운 문화권에 살면서 그 문화에 적응하고 동화되는 과정으로, 종종 새로운 문화적 정체성을 형성하게 됨"
3,achievement test,성취도 평가,"an instrument used to determine whether course objectives have been met-and appropriate knowledge and skills acquired by the end of a given period of instruction","특정 교육 기간이 끝날 무렵 교육과정 목표가 달성되었는지, 그리고 적절한 지식과 기술을 습득했는지 판단하기 위해 사용되는 평가 도구"
4,action research,실행 연구,"the systematic investigation of an issue, problem, or pedagogical question in a ""live"" classroom setting with students, and reporting on the findings of the investigation","학생들과 함께하는 '실제' 교실 환경에서 쟁점, 문제 또는 교육적 질문을 체계적으로 조사하고 그 결과를 보고하는 것"
5,activity,활동,"a reasonably unified set of student behaviors, limited in time, preceded by some direction from the teacher, with a particular objective","교사의 지시가 선행되며 특정 목표를 가지고 제한된 시간 동안 합리적으로 통일된 학생들의 행동 집합"
6,additive bilingualism,가산적 이중언어 사용,"context in which the native language is held in prestige by the community or society","모국어가 지역사회나 사회에서 높은 위상을 지니는 상황"
7,adjunct model (of content-based language teaching),부가 모델 (내용 중심 언어 교수법의),"linking subject-matter teachers and language teachers in content-based courses","내용 중심 코스에서 교과목 교사와 언어 교사를 연결하는 모델"
8,affect,정의 (감정),"emotion or feeling","감정이나 기분"
9,affective filter,정의적 여과막,"a condition of low anxiety and nondefensiveness that permits one to acquire a language","언어 습득을 가능하게 하는 낮은 불안감과 비방어적인 상태"
10,affordances,행동 유도성 (어포던스),"opportunities for meaningful action that a situation leads to; a reciprocal relationship between a person and a particular feature of the environment that signals a possibility for action","어떤 상황이 이끌어내는 유의미한 행동의 기회; 행동 가능성을 나타내는 개인과 환경의 특정 특징 간의 상호적 관계"
11,agency,주체성 (에이전시),"a person's ability to make choices, take control, self-regulate, and thereby pursue goals as an individual, leading potentially to personal or social transformation","개인이 선택하고 통제하며 자기 조절을 통해 목표를 추구함으로써 잠재적으로 개인적 또는 사회적 변화를 이끌어내는 능력"
12,alternative assessment,대안 평가,"various instruments that are less traditional and more authentic in their elicitation of meaningful communication","유의미한 의사소통을 이끌어내는 데 덜 전통적이고 더 실제적인 다양한 평가 도구"
13,alternatives (in multiple-choice items),선택지 (선다형 문항의),"see options","options 참조"
14,ambiguity intolerance,모호함 회피 (불용인),"a style in which an individual is relatively ill-equipped to withstand or manage a high degree of uncertainty in a linguistic context","개인이 언어적 맥락에서 높은 수준의 불확실성을 견디거나 관리하는 데 상대적으로 어려움을 겪는 인지 양식"
15,ambiguity tolerance,모호함 수용 (용인),"a style in which an individual is relatively well suited to withstand or manage a high degree of uncertainty in a linguistic context","개인이 언어적 맥락에서 높은 수준의 불확실성을 잘 견디고 관리할 수 있는 인지 양식"
16,analytic scoring,분석적 채점,"an approach that separately rates a number of predetermined aspects (e.g., grammar, content, organization) of a test-taker's language production (e.g., writing); as opposed to holistic scoring","수험자의 언어 산출(예: 작문)의 정해진 여러 측면(예: 문법, 내용, 구성)을 개별적으로 평가하는 접근법; 총체적 채점(holistic scoring)과 반대됨"
17,approach,접근법,"theoretical positions and beliefs about teaching, language, language learning, learners, institutional and societal factors, purposes of a course, and the applicability of all to a specific educational context","교수, 언어, 언어 학습, 학습자, 제도적 및 사회적 요인, 과정의 목적 및 이 모든 것을 특정 교육 맥락에 적용하는 것에 대한 이론적 입장과 신념"
18,appropriate-word scoring,적절한 단어 채점,"see cloze","cloze 참조"
19,approximative system,근사 체계,"learner language that emphasizes the successive approximation of the learner's output to the target language","학습자의 산출물이 목표어에 점진적으로 근접해가는 과정을 강조하는 학습자 언어"
20,aptitude test,적성 검사,"an instrument designed to measure capacity or general ability a priori (e.g., before taking a foreign language course) to predict success in that undertaking","성공을 예측하기 위해 사전에(예: 외국어 코스를 수강하기 전) 능력이나 일반적인 소질을 측정하도록 설계된 도구"
21,artifacts,인공물,"in nonverbal communication, factors external to a person, such as clothing and ornamentation, and their effect on communication","비언어적 의사소통에서 옷과 장신구 등 사람 외부의 요인과 그것이 의사소통에 미치는 영향"
22,assess,평가,"an ongoing process of collecting information about a given performance according to systematic and substantively grounded procedures","체계적이고 실질적으로 근거한 절차에 따라 주어진 수행에 대한 정보를 수집하는 지속적인 과정"
23,assessment,평가,"an ongoing process ranging from formal tests to informal evaluation (see test)","공식적인 시험부터 비공식적인 평가에 이르는 지속적인 과정 (test 참조)"
24,assimilative orientation,동화적 지향,"learning a language in order to form a long-term identity with the culture of a second language group, possibly at the expense of losing one's original cultural identity","자신의 원래 문화적 정체성을 잃을 가능성을 감수하더라도 제2언어 집단의 문화와 장기적인 정체성을 형성하기 위해 언어를 학습하는 것"
25,attribution theory,귀인 이론,"how people explain the cause of their own successes and failures","사람들이 자신의 성공과 실패의 원인을 어떻게 설명하는가에 대한 이론"
26,attrition,언어 상실 (마모),"the loss or forgetting of language skills.","언어 기술의 손실이나 망각"
27,Audiolingual Method (ALM),청각구두식 교수법,"a language teaching method that emphasized oral production, pattern drills, and conditioning through repetition","구두 산출, 패턴 연습, 반복을 통한 조건화를 강조한 언어 교수법"
28,authenticity (of a test),실제성 (평가의),"the degree of correspondence of the characteristics of a given language test task to the features of the actual target language task","주어진 언어 평가 과업의 특성이 실제 목표어 과업의 특성과 일치하는 정도"
29,automaticity,자동화,"the act of processing input and giving output without deliberation or hesitation in real-time speed","실시간 속도에서 심사숙고나 망설임 없이 입력을 처리하고 산출하는 행위"
30,autonomy,자율성,"individual effort and action through which learners initiate language, problem solving, strategic action, and the generation of linguistic input","학습자가 언어, 문제 해결, 전략적 행동, 언어적 입력 생성을 주도하는 개인적인 노력과 행동"
31,avoidance,회피,"(of a topic) in a conversation, steering others away from an unwanted topic; (of a language form) a strategy that leads to refraining from producing a form that speaker may not know, often through an alternative form; as a strategy, options intended to prevent the production of ill-formed utterances, classified into such categories as syntactic, lexical, phonological, and topic avoidance","(대화에서) 원치 않는 화제를 피하도록 유도함; (언어 형태에서) 화자가 잘 모를 수 있는 형태의 산출을 (주로 대체 형태를 통해) 자제하는 전략; 구문적, 어휘적, 음운론적, 화제 회피 등으로 분류됨"
32,backsliding,퇴행 (백슬라이딩),"(in learner language) a phenomenon in which the learner seems to have grasped a rule or principle and then regresses to a previous stage.","(학습자 언어에서) 학습자가 규칙이나 원리를 파악한 것처럼 보이다가 이전 단계로 퇴행하는 현상"
